rainfall_24h,rainfall_7d,soil_moisture,slope,elevation,historical_landslides,landslide
12,45,30,10,500,0,0
20,70,35,12,600,0,0
35,100,42,15,700,0,0
45,120,48,18,800,1,0
60,150,55,22,900,1,0
75,180,60,25,1000,1,0
90,210,68,28,1200,2,1
110,240,72,30,1300,2,1
125,270,76,32,1400,3,1
140,300,80,35,1500,3,1
155,330,83,38,1600,4,1
170,360,87,40,1700,4,1
180,400,90,42,1800,5,1
10,40,28,8,400,0,0
25,80,38,14,650,0,0
50,130,50,20,850,1,0
65,170,58,23,950,1,0
85,200,65,27,1100,2,1
100,230,70,29,1250,2,1
135,290,78,34,1450,3,1
