state,year,month,rainfall
ARUNACHAL PRADESH,2016,1,24.41352
ARUNACHAL PRADESH,2016,2,35.314293
ARUNACHAL PRADESH,2016,3,70.684425
ARUNACHAL PRADESH,2016,4,240.57
ARUNACHAL PRADESH,2016,5,169.37778
ARUNACHAL PRADESH,2016,6,309.37524
ARUNACHAL PRADESH,2016,7,190.68677
ARUNACHAL PRADESH,2016,8,260.33466
ARUNACHAL PRADESH,2016,9,229.59058
ARUNACHAL PRADESH,2016,10,90.40237
ARUNACHAL PRADESH,2016,11,8.562313
ARUNACHAL PRADESH,2016,12,9.615435
ARUNACHAL PRADESH,2017,1,14.14202
ARUNACHAL PRADESH,2017,2,43.685997
ARUNACHAL PRADESH,2017,3,73.176865
ARUNACHAL PRADESH,2017,4,197.25098
ARUNACHAL PRADESH,2017,5,253.3996
ARUNACHAL PRADESH,2017,6,346.03107
ARUNACHAL PRADESH,2017,7,216.14215
ARUNACHAL PRADESH,2017,8,293.4654
ARUNACHAL PRADESH,2017,9,158.6347
ARUNACHAL PRADESH,2017,10,102.32439
ARUNACHAL PRADESH,2017,11,11.6166
ARUNACHAL PRADESH,2017,12,9.012467
ARUNACHAL PRADESH,2018,1,14.933917
ARUNACHAL PRADESH,2018,2,25.827671
ARUNACHAL PRADESH,2018,3,85.532906
ARUNACHAL PRADESH,2018,4,189.96617
ARUNACHAL PRADESH,2018,5,152.63782
ARUNACHAL PRADESH,2018,6,256.29327
ARUNACHAL PRADESH,2018,7,202.41974
ARUNACHAL PRADESH,2018,8,214.38632
ARUNACHAL PRADESH,2018,9,228.7363
ARUNACHAL PRADESH,2018,10,89.62325
ARUNACHAL PRADESH,2018,11,21.192879
ARUNACHAL PRADESH,2018,12,15.937649
ARUNACHAL PRADESH,2019,1,14.030252
ARUNACHAL PRADESH,2019,2,30.691261
ARUNACHAL PRADESH,2019,3,50.642593
ARUNACHAL PRADESH,2019,4,150.59705
ARUNACHAL PRADESH,2019,5,308.41974
ARUNACHAL PRADESH,2019,6,234.5639
ARUNACHAL PRADESH,2019,7,314.32532
ARUNACHAL PRADESH,2019,8,229.41739
ARUNACHAL PRADESH,2019,9,273.70422
ARUNACHAL PRADESH,2019,10,96.25255
ARUNACHAL PRADESH,2019,11,14.236073
ARUNACHAL PRADESH,2019,12,9.510515
ARUNACHAL PRADESH,2020,1,28.958368
ARUNACHAL PRADESH,2020,2,41.2212
ARUNACHAL PRADESH,2020,3,57.717293
ARUNACHAL PRADESH,2020,4,135.41074
ARUNACHAL PRADESH,2020,5,244.59824
ARUNACHAL PRADESH,2020,6,297.72766
ARUNACHAL PRADESH,2020,7,196.06993
